บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,,,,,
จำนวน,รหัสสินค้า,รายการสินค้า,หน่วยบรรจุ,ราคาต่อหน่วย (รวม VAT),ส่วนลด บาท,VAT CODE,จำนวนเงิน (รวม VAT)
1.000,08852023670447,โก่แก่ถั่วเขียวซึกรสสาหร่าย 40 กรัม,,10.000,,,10.00 บาท
1.000,06921211113157,จูปาจุปส์ คอตตอนบับเบิลกัม 11ก,,15.000,,,15.00 บาท
1.000,08935001723073,จูปาจุปส์ติปแอนด์ลิค อก.,,7.000,,,7.00 บาท
1.000,08852023006123,โก่แก่ถั่วเยื่อแดงโรยเกลือ 40 n.,,10.000,,,10.00 บาท
1.000,08851096020012,พุชป๊อปลูกอม 14ก.,,18.000,,,18.00 บาท
1.000,06920890700610,จูปาจุปส์ออริจินอล 9.5ก.,,5.000,,,5.00 บาท
1.000,08850987358654,โฮมมีขนมปังกรอบ โนริสาหร่าย 120ก.,,17.000,,,17.00 บาท
1.000,08850425000268,ปักกิ่งขนมปังเคลือบนม 7ก.%12ชิ้น,,16.000,,,16.00 บาท
1.000,08852047111117,เชียงไฮ้เวเฟอร์ ชอคโกแลต 6ก %10,,14.000,,,14.00 บาท
1.000,08691216018891,ฮาริโบ้โกลด์แบร์ส 25 ก.,,12.000,,,12.00 บาท
ยอดเงินชำระ,,,,,,,124.00
